Tensao,Derivada,2aDerivada,Bateria
3.775375,0.011 ,-0.000125,0
3.77425,0.011 ,-0.00025,0
3.773,0.011 ,0.000125,0
3.772375,0.011 ,-0.0005,0
3.77075,0.011 ,-0.000125,0
3.769875,0.011 ,0,0
3.768625,0.011 ,0.000125,0
3.7675,0.011 ,0.00025,0
3.76675,0.011 ,-0.00025,0
3.76575,0.011 ,-0.000375,0
3.76425,0.011 ,0.00025,0
3.7635,0.011 ,-0.000125,0
3.76225,0.011 ,-0.000375,0
3.76125,0.011 ,0.0005,0
3.760125,0.011 ,-0.000375,0
3.759125,0.011 ,-0.000125,0
3.758,0.011 ,-0.0005,0
3.757,0.011 ,-0.00075,0
3.755875,0.011 ,0.000125,0
3.755,0.011 ,0,0
3.75375,0.011 ,-0.000625,0
3.75275,0.011 ,0,0
3.75175,0.011 ,-0.00025,0
3.7505,0.011 ,-0.000375,0
3.7495,0.011 ,0,0
3.748625,0.011 ,-0.00025,0
3.7475,0.011 ,-0.000125,0
3.746375,0.011 ,0.000125,0
3.7455,0.010 ,-0.0005,0
3.744125,0.011 ,0.000125,0
3.74325,0.010 ,0,0
3.74225,0.011 ,-0.00025,0
3.74125,0.011 ,0,0
3.740375,0.010 ,-0.000625,0
3.73925,0.010 ,-0.000375,0
3.738125,0.011 ,0,0
3.737375,0.010 ,-0.000375,0
3.7365,0.010 ,-0.00075,0
3.73525,0.010 ,-0.000125,0
3.734375,0.010 ,-0.001125,0
3.73325,0.010 ,-0.0005,0
3.732375,0.010 ,-0.000625,0
3.731375,0.010 ,-0.000625,0
3.73025,0.010 ,0,0
3.72925,0.010 ,-0.00025,0
3.728625,0.010 ,-0.001,0
3.7275,0.010 ,-0.00025,0
3.7265,0.010 ,0.000125,0
3.72575,0.010 ,-0.00075,0
3.72475,0.010 ,-0.000125,0
3.723625,0.010 ,-0.000375,0
3.722625,0.010 ,-0.000125,0
3.721875,0.009 ,-0.000375,0
3.721,0.009 ,-0.000875,0
3.720125,0.009 ,-0.000875,0
3.719125,0.010 ,0,0
3.718125,0.009 ,-0.0005,0
3.717375,0.009 ,-0.000875,0
3.7165,0.009 ,-0.00025,0
3.715875,0.009 ,-0.00075,0
3.71475,0.009 ,-0.00075,0
3.713875,0.009 ,-0.001,0
3.712875,0.009 ,-0.0005,0
3.711875,0.009 ,-0.000125,0
3.71125,0.009 ,-0.00025,0
3.7105,0.009 ,-0.000875,0
3.709375,0.009 ,-0.000625,0
3.708625,0.009 ,-0.000375,0
3.707875,0.009 ,-0.000625,0
3.707125,0.009 ,-0.000125,0
3.706,0.009 ,-0.000125,0
3.70525,0.009 ,-0.000125,0
3.704375,0.008 ,-0.0005,0
3.703625,0.008 ,-0.000875,0
3.70275,0.009 ,-0.000375,0
3.701875,0.009 ,0,0
3.701125,0.008 ,-0.0005,0
3.700375,0.008 ,-0.0005,0
3.699125,0.009 ,0.000125,0
3.69875,0.008 ,-0.000375,0
3.698125,0.008 ,-0.000875,0
3.697125,0.008 ,-0.0005,0
3.6965,0.008 ,-0.000625,0
3.695625,0.008 ,-0.00025,0
3.69475,0.008 ,-0.0005,0
3.694,0.008 ,-0.00075,0
3.6935,0.008 ,-0.000625,0
3.6925,0.008 ,-0.000375,0
3.691625,0.008 ,-0.00125,0
3.691125,0.008 ,-0.00075,0
3.69025,0.008 ,0,0
3.6895,0.008 ,-0.0005,0
3.688875,0.008 ,-0.00025,0
3.688,0.008 ,-0.000375,0
3.687125,0.008 ,-0.000375,0
3.68675,0.007 ,-0.000625,0
3.686,0.008 ,-0.000125,0
3.685375,0.007 ,-0.00075,0
3.684625,0.007 ,-0.0005,0
3.684,0.007 ,-0.0005,0
3.683,0.007 ,-0.000625,0
3.682625,0.007 ,-0.00075,0
3.682,0.007 ,-0.00075,0
3.681125,0.007 ,-0.00075,0
3.6805,0.007 ,-0.001,0
3.679875,0.007 ,-0.000375,0
3.67925,0.007 ,-0.00075,0
3.67875,0.007 ,-0.0005,0
3.67775,0.007 ,-0.000125,0
3.677375,0.007 ,-0.0005,0
3.676625,0.006 ,-0.000875,0
3.676125,0.006 ,-0.000375,0
3.675375,0.007 ,-0.00025,0
3.674625,0.006 ,-0.000375,0
3.674375,0.006 ,-0.0005,0
3.6735,0.006 ,-0.0005,0
3.673,0.006 ,-0.0005,0
3.67225,0.006 ,-0.000125,0
3.6715,0.006 ,-0.000625,0
3.67125,0.006 ,-0.0005,0
3.670625,0.006 ,-0.000375,0
3.67,0.006 ,-0.000375,0
3.669,0.006 ,-0.00025,0
3.668625,0.006 ,-0.0005,0
3.668,0.006 ,0.00025,0
3.667625,0.006 ,-0.0005,0
3.667,0.006 ,-0.00025,0
3.6665,0.006 ,-0.00075,0
3.665875,0.006 ,-0.000625,0
3.665375,0.006 ,-0.00025,0
3.66475,0.006 ,-0.000125,0
3.664125,0.006 ,-0.00025,0
3.663625,0.005 ,-0.001,0
3.663125,0.005 ,-0.0005,0
3.662625,0.005 ,-0.001,0
3.662125,0.005 ,-0.000375,0
3.661625,0.005 ,-0.000625,0
3.660875,0.006 ,-0.000125,0
3.660625,0.005 ,-0.000375,0
3.659875,0.005 ,-0.000375,0
3.659625,0.005 ,-0.00075,0
3.659125,0.005 ,-0.000875,0
3.6585,0.005 ,-0.00025,0
3.658125,0.005 ,-0.0005,0
3.657375,0.005 ,-0.000125,0
3.657125,0.005 ,-0.0005,0
3.656625,0.005 ,-0.000375,0
3.656125,0.005 ,-0.000875,0
3.655875,0.005 ,-0.0005,0
3.655,0.005 ,-0.000625,0
3.655,0.005 ,-0.0005,0
3.654125,0.005 ,0,0
3.654,0.004 ,-0.000625,0
3.653625,0.004 ,-0.0005,0
3.65275,0.005 ,-0.000625,0
3.6525,0.005 ,-0.000375,0
3.65225,0.004 ,-0.000625,0
3.6515,0.005 ,-0.000125,0
3.651375,0.005 ,-0.00025,0
3.650875,0.004 ,-0.00075,0
3.650375,0.005 ,0,0
3.650125,0.004 ,-0.001,0
3.649625,0.004 ,-0.000125,0
3.649125,0.005 ,0,0
3.64875,0.004 ,-0.000625,0
3.6485,0.004 ,-0.000625,0
3.648,0.004 ,-0.000125,0
3.647625,0.004 ,-0.00075,0
3.647375,0.004 ,-0.0005,0
3.646875,0.004 ,-0.000125,0
3.6465,0.004 ,-0.00075,0
3.646,0.004 ,0.000125,0
3.645875,0.004 ,-0.000625,0
3.64525,0.004 ,-0.000625,0
3.645,0.004 ,-0.00025,0
3.644375,0.004 ,0.000125,0
3.64425,0.004 ,-0.0005,0
3.643875,0.004 ,-0.000125,0
3.6435,0.004 ,-0.000125,0
3.643125,0.004 ,-0.00025,0
3.64275,0.004 ,-0.000125,0
3.64225,0.004 ,-0.000375,0
3.642,0.004 ,0.000125,0
3.641875,0.003 ,-0.0005,0
3.64125,0.004 ,0,0
3.640875,0.003 ,-0.000625,0
3.64075,0.004 ,-0.00025,0
3.64,0.004 ,0.000125,0
3.639875,0.004 ,-0.00025,0
3.63975,0.003 ,-0.000375,0
3.6395,0.003 ,-0.0005,0
3.639,0.003 ,-0.0005,0
3.6385,0.004 ,-0.000375,0
3.63825,0.004 ,0.00025,0
3.637875,0.003 ,-0.000375,0
3.637625,0.003 ,-0.00025,0
3.63725,0.003 ,0,0
3.63725,0.003 ,-0.001125,0
3.63675,0.003 ,-0.0005,0
3.63625,0.003 ,0.000125,0
3.636125,0.003 ,0.000125,0
3.635875,0.003 ,-0.000125,0
3.6355,0.003 ,-0.0005,0
3.63525,0.003 ,-0.000625,0
3.635,0.003 ,-0.0005,0
3.6345,0.003 ,-0.000125,0
3.634125,0.003 ,-0.000375,0
3.633875,0.003 ,0.000625,0
3.633625,0.003 ,0,0
3.633375,0.003 ,-0.000625,0
3.632875,0.003 ,-0.000125,0
3.6325,0.003 ,0.00025,0
3.6325,0.003 ,0,0
3.631875,0.003 ,0.000375,0
3.6315,0.003 ,0.000625,0
3.63125,0.003 ,0.000125,0
3.631,0.003 ,0,0
3.630875,0.003 ,-0.000375,0
3.630375,0.003 ,0.000125,0
3.630125,0.003 ,0.000375,0
3.63,0.003 ,-0.000375,0
3.629375,0.003 ,-0.00025,0
3.629125,0.003 ,0.000375,0
3.62875,0.003 ,-0.00025,0
3.62875,0.003 ,-0.00075,0
3.628125,0.003 ,-0.000125,0
3.628,0.003 ,-0.000125,0
3.627375,0.004 ,0.0005,0
3.62725,0.003 ,-0.000125,0
3.626875,0.003 ,0,0
3.626625,0.003 ,0.0005,0
3.626375,0.003 ,-0.000125,0
3.625875,0.003 ,-0.000125,0
3.625625,0.003 ,0,0
3.625375,0.003 ,0.000625,0
3.624875,0.003 ,0.000125,0
3.624625,0.003 ,0.000375,0
3.624,0.003 ,-0.000125,0
3.623875,0.003 ,0.00025,0
3.62375,0.003 ,-0.000125,0
3.62325,0.003 ,0,0
3.622875,0.004 ,0.0005,0
3.622375,0.003 ,0.00025,0
3.622125,0.003 ,0.000375,0
3.621875,0.003 ,0.000125,0
3.621375,0.004 ,0.00025,0
3.621,0.004 ,0.00025,0
3.620625,0.003 ,0,0
3.6205,0.003 ,0,0
3.62,0.004 ,0.000625,0
3.619625,0.004 ,0.00025,0
3.61925,0.004 ,0.000125,0
3.619125,0.003 ,-0.00025,0
3.6185,0.004 ,0.000125,0
3.618125,0.004 ,0.00025,0
3.61775,0.004 ,0.000125,0
3.61725,0.004 ,0.000125,0
3.616875,0.004 ,0.000375,0
3.6165,0.004 ,0.000625,0
3.616,0.004 ,0.00025,0
3.615625,0.004 ,0.000375,0
3.615125,0.004 ,0.0005,0
3.614875,0.004 ,0.001,0
3.61425,0.004 ,0.000625,0
3.613875,0.004 ,0.0005,0
3.613375,0.004 ,0.00075,0
3.612625,0.005 ,0.000875,0
3.6125,0.004 ,0.000625,0
3.611875,0.005 ,0.000625,0
3.6115,0.005 ,0.0005,0
3.611,0.005 ,0.000625,0
3.610625,0.004 ,0.000375,0
3.61,0.005 ,0.000625,0
3.60975,0.005 ,0.00025,0
3.609,0.005 ,0.000625,0
3.60875,0.005 ,0.00025,0
3.608125,0.004 ,-0.000125,0
3.60775,0.005 ,0.000375,0
3.607125,0.005 ,0.000125,0
