Tensao,Derivada,Bateria
3.70275,0.00085,0
3.701875,0.0008625,0
3.701125,0.000825,0
3.700375,0.000825,0
3.699125,0.000875,0
3.69875,0.0008375,0
3.698125,0.0007875,0
3.697125,0.0008125,0
3.6965,0.0007875,0
3.695625,0.0008,0
3.69475,0.0008,0
3.694,0.0007875,0
3.6935,0.0007625,0
3.6925,0.0007875,0
3.691625,0.00075,0
3.691125,0.0007625,0
3.69025,0.0007875,0
3.6895,0.0007625,0
3.688875,0.0007625,0
3.688,0.0007625,0
3.687125,0.0007625,0
3.68675,0.000725,0
3.686,0.00075,0
3.685375,0.0007125,0
3.684625,0.0007,0
3.684,0.0007125,0
3.683,0.000725,0
3.682625,0.0006875,0
3.682,0.0006875,0
3.681125,0.0006875,0
3.6805,0.0006625,0
3.679875,0.0006875,0
3.67925,0.000675,0
3.67875,0.0006625,0
3.67775,0.0006875,0
3.677375,0.0006625,0
3.676625,0.0006375,0
3.676125,0.00065,0
3.675375,0.0006625,0
3.674625,0.00065,0
3.674375,0.0006125,0
3.6735,0.0006375,0
3.673,0.000625,0
3.67225,0.00065,0
3.6715,0.000625,0
3.67125,0.0006125,0
3.670625,0.0006,0
3.67,0.0006125,0
3.669,0.0006375,0
3.668625,0.0006,0
3.668,0.0006375,0
3.667625,0.0005875,0
3.667,0.0006,0
3.6665,0.000575,0
3.665875,0.0005625,0
3.665375,0.0005875,0
3.66475,0.0005875,0
3.664125,0.0005875,0
3.663625,0.0005375,0
3.663125,0.00055,0
3.662625,0.0005375,0
3.662125,0.00055,0
3.661625,0.0005375,0
3.660875,0.0005625,0
3.660625,0.000525,0
3.659875,0.00055,0
3.659625,0.0005125,0
3.659125,0.0005,0
3.6585,0.0005125,0
3.658125,0.0005,0
3.657375,0.000525,0
3.657125,0.0005,0
3.656625,0.0005,0
3.656125,0.000475,0
3.655875,0.000475,0
3.655,0.0004875,0
3.655,0.0004625,0
3.654125,0.0005,0
3.654,0.00045,0
3.653625,0.00045,0
3.65275,0.0004625,0
3.6525,0.0004625,0
3.65225,0.0004375,0
3.6515,0.0004625,0
3.651375,0.00045,0
3.650875,0.0004125,0
3.650375,0.0004625,0
3.650125,0.0004,0
3.649625,0.0004375,0
3.649125,0.00045,0
3.64875,0.0004,0
3.6485,0.0004,0
3.648,0.000425,0
3.647625,0.0003875,0
3.647375,0.0004,0
3.646875,0.0004,0
3.6465,0.0003875,0
3.646,0.0004125,0
3.645875,0.000375,0
3.64525,0.0003875,0
3.645,0.000375,0
3.644375,0.0004125,0
3.64425,0.000375,0
3.643875,0.000375,0
3.6435,0.0003875,0
3.643125,0.000375,0
3.64275,0.000375,0
3.64225,0.000375,0
3.642,0.0003875,0
3.641875,0.0003375,0
3.64125,0.000375,0
3.640875,0.00035,0
3.64075,0.00035,0
3.64,0.0003875,0
3.639875,0.0003625,0
3.63975,0.0003375,0
3.6395,0.000325,0
3.639,0.000325,0
3.6385,0.00035,0
3.63825,0.0003625,0
3.637875,0.0003375,0
3.637625,0.000325,0
3.63725,0.00035,0
3.63725,0.000275,0
3.63675,0.0003125,0
3.63625,0.00035,0
3.636125,0.0003375,0
3.635875,0.0003125,0
3.6355,0.0003,0
3.63525,0.0003,0
3.635,0.0002875,0
3.6345,0.0003125,0
3.634125,0.0003125,0
3.633875,0.0003375,0
3.633625,0.0003125,0
3.633375,0.0002875,0
3.632875,0.000325,0
3.6325,0.0003375,0
3.6325,0.0003,0
3.631875,0.0003375,0
3.6315,0.00035,0
3.63125,0.000325,0
3.631,0.0003125,0
3.630875,0.0003,0
3.630375,0.000325,0
3.630125,0.000325,0
3.63,0.0002875,0
3.629375,0.0003125,0
3.629125,0.0003375,0
3.62875,0.0003125,0
3.62875,0.000275,0
3.628125,0.0003125,0
3.628,0.0003,0
3.627375,0.00035,0
3.62725,0.0003125,0
3.626875,0.000325,0
3.626625,0.0003375,0
3.626375,0.0003,0
3.625875,0.000325,0
3.625625,0.0003125,0
3.625375,0.0003375,0
3.624875,0.000325,0
3.624625,0.0003375,0
3.624,0.0003375,0
3.623875,0.0003375,0
3.62375,0.0003125,0
3.62325,0.0003375,0
3.622875,0.00035,0
3.622375,0.00035,0
3.622125,0.00035,0
3.621875,0.00035,0
3.621375,0.00035,0
3.621,0.0003625,0
3.620625,0.0003375,0
3.6205,0.0003375,0
3.62,0.000375,0
3.619625,0.0003625,0
3.61925,0.0003625,0
3.619125,0.000325,0
3.6185,0.0003625,0
3.618125,0.000375,0
3.61775,0.0003625,0
3.61725,0.000375,0
3.616875,0.000375,0
3.6165,0.0004,0
3.616,0.0004,0
3.615625,0.0004,0
3.615125,0.0004125,0
3.614875,0.000425,0
3.61425,0.000425,0
3.613875,0.000425,0
3.613375,0.0004375,0
3.612625,0.0004625,0
3.6125,0.0004375,0
3.611875,0.0004625,0
3.6115,0.00045,0
3.611,0.0004625,0
3.610625,0.00045,0
3.61,0.0004875,0
3.60975,0.00045,0
3.609,0.0004875,0
3.60875,0.0004625,0
3.608125,0.00045,0
3.60775,0.000475,0
3.607125,0.000475,0
3.6065,0.0005,0
3.60625,0.000475,0
3.605625,0.0005,0
3.60525,0.000475,0
3.604625,0.0005125,0
3.60375,0.000525,0
3.603375,0.0005375,0
3.60275,0.0005375,0
3.60225,0.00055,0
3.60175,0.0005375,0
3.600875,0.0005625,0
3.600375,0.0005875,0
3.599875,0.000575,0
3.59925,0.0006,0
3.598625,0.0006,0
3.597875,0.0005875,0
3.59725,0.0006125,0
3.5965,0.000625,0
3.596125,0.0006125,0
3.5955,0.000625,0
3.59475,0.0006125,0
3.594125,0.000625,0
3.593375,0.00065,0
3.592625,0.0006625,0
3.592,0.0006625,0
3.591125,0.000675,0
3.5905,0.000675,0
3.589625,0.0006875,0
3.589,0.0007125,0
3.58825,0.000725,0
3.587625,0.0007125,0
3.58675,0.0007375,0
3.586,0.0007375,0
3.58525,0.0007375,0
3.58425,0.000775,0
3.58325,0.0007875,0
3.582375,0.0008125,0
3.581625,0.0008,0
