Tensao,Derivada,Derivada2a,Bateria
3.7686,0.0111,0.0001,0
3.7675,0.0113,0.0003,0
3.7668,0.0107,-0.0003,0
3.7658,0.0108,-0.0004,0
3.7643,0.0111,0.0003,0
3.7635,0.0107,-0.0001,0
3.7623,0.0107,-0.0004,0
3.7613,0.0111,0.0005,0
3.7601,0.0106,-0.0004,0
3.7591,0.0107,-0.0001,0
3.7580,0.0106,-0.0005,0
3.7570,0.0105,-0.0008,0
3.7559,0.0109,0.0001,0
3.7550,0.0107,0.0000,0
3.7538,0.0105,-0.0006,0
3.7528,0.0107,0.0000,0
3.7518,0.0105,-0.0002,0
3.7505,0.0107,-0.0004,0
3.7495,0.0106,0.0000,0
3.7486,0.0105,-0.0002,0
3.7475,0.0105,-0.0001,0
3.7464,0.0106,0.0001,0
3.7455,0.0104,-0.0005,0
3.7441,0.0109,0.0001,0
3.7433,0.0105,0.0000,0
3.7423,0.0105,-0.0002,0
3.7413,0.0105,0.0000,0
3.7404,0.0101,-0.0006,0
3.7393,0.0103,-0.0004,0
3.7381,0.0105,0.0000,0
3.7374,0.0101,-0.0004,0
3.7365,0.0099,-0.0008,0
3.7353,0.0102,-0.0001,0
3.7344,0.0098,-0.0011,0
3.7333,0.0100,-0.0005,0
3.7324,0.0099,-0.0006,0
3.7314,0.0099,-0.0006,0
3.7303,0.0101,0.0000,0
3.7293,0.0100,-0.0003,0
3.7286,0.0095,-0.0010,0
3.7275,0.0099,-0.0003,0
3.7265,0.0100,0.0001,0
3.7258,0.0095,-0.0007,0
3.7248,0.0096,-0.0001,0
3.7236,0.0096,-0.0004,0
3.7226,0.0098,-0.0001,0
3.7219,0.0095,-0.0004,0
3.7210,0.0092,-0.0009,0
3.7201,0.0091,-0.0009,0
3.7191,0.0095,0.0000,0
3.7181,0.0094,-0.0005,0
3.7174,0.0091,-0.0009,0
3.7165,0.0092,-0.0003,0
3.7159,0.0089,-0.0007,0
3.7148,0.0089,-0.0007,0
3.7139,0.0088,-0.0010,0
3.7129,0.0090,-0.0005,0
3.7119,0.0091,-0.0001,0
3.7113,0.0089,-0.0003,0
3.7105,0.0086,-0.0009,0
3.7094,0.0087,-0.0006,0
3.7086,0.0087,-0.0004,0
3.7079,0.0086,-0.0006,0
3.7071,0.0088,-0.0001,0
3.7060,0.0088,-0.0001,0
3.7053,0.0086,-0.0001,0
3.7044,0.0085,-0.0005,0
3.7036,0.0082,-0.0009,0
3.7028,0.0085,-0.0004,0
3.7019,0.0086,0.0000,0
3.7011,0.0083,-0.0005,0
3.7004,0.0083,-0.0005,0
3.6991,0.0088,0.0001,0
3.6988,0.0084,-0.0004,0
3.6981,0.0079,-0.0009,0
3.6971,0.0081,-0.0005,0
3.6965,0.0079,-0.0006,0
3.6956,0.0080,-0.0002,0
3.6948,0.0080,-0.0005,0
3.6940,0.0079,-0.0008,0
3.6935,0.0076,-0.0006,0
3.6925,0.0079,-0.0004,0
3.6916,0.0075,-0.0012,0
3.6911,0.0076,-0.0008,0
3.6903,0.0079,0.0000,0
3.6895,0.0076,-0.0005,0
3.6889,0.0076,-0.0002,0
3.6880,0.0076,-0.0004,0
3.6871,0.0076,-0.0004,0
3.6868,0.0073,-0.0006,0
3.6860,0.0075,-0.0001,0
3.6854,0.0071,-0.0007,0
3.6846,0.0070,-0.0005,0
3.6840,0.0071,-0.0005,0
3.6830,0.0073,-0.0006,0
3.6826,0.0069,-0.0007,0
3.6820,0.0069,-0.0008,0
3.6811,0.0069,-0.0007,0
3.6805,0.0066,-0.0010,0
3.6799,0.0069,-0.0004,0
3.6793,0.0068,-0.0008,0
3.6788,0.0066,-0.0005,0
3.6778,0.0069,-0.0001,0
3.6774,0.0066,-0.0005,0
3.6766,0.0064,-0.0009,0
3.6761,0.0065,-0.0004,0
3.6754,0.0066,-0.0002,0
3.6746,0.0065,-0.0004,0
3.6744,0.0061,-0.0005,0
3.6735,0.0064,-0.0005,0
3.6730,0.0062,-0.0005,0
3.6723,0.0065,-0.0001,0
3.6715,0.0063,-0.0006,0
3.6713,0.0061,-0.0005,0
3.6706,0.0060,-0.0004,0
3.6700,0.0061,-0.0004,0
3.6690,0.0064,-0.0002,0
3.6686,0.0060,-0.0005,0
3.6680,0.0064,0.0002,0
3.6676,0.0059,-0.0005,0
3.6670,0.0060,-0.0002,0
3.6665,0.0058,-0.0007,0
3.6659,0.0056,-0.0006,0
3.6654,0.0059,-0.0003,0
3.6648,0.0059,-0.0001,0
3.6641,0.0059,-0.0002,0
3.6636,0.0054,-0.0010,0
3.6631,0.0055,-0.0005,0
3.6626,0.0054,-0.0010,0
3.6621,0.0055,-0.0004,0
3.6616,0.0054,-0.0006,0
3.6609,0.0056,-0.0001,0
3.6606,0.0053,-0.0004,0
3.6599,0.0055,-0.0004,0
3.6596,0.0051,-0.0008,0
3.6591,0.0050,-0.0009,0
3.6585,0.0051,-0.0003,0
3.6581,0.0050,-0.0005,0
3.6574,0.0053,-0.0001,0
3.6571,0.0050,-0.0005,0
3.6566,0.0050,-0.0004,0
3.6561,0.0047,-0.0009,0
3.6559,0.0048,-0.0005,0
3.6550,0.0049,-0.0006,0
3.6550,0.0046,-0.0005,0
3.6541,0.0050,0.0000,0
3.6540,0.0045,-0.0006,0
3.6536,0.0045,-0.0005,0
3.6528,0.0046,-0.0006,0
3.6525,0.0046,-0.0004,0
3.6523,0.0044,-0.0006,0
3.6515,0.0046,-0.0001,0
3.6514,0.0045,-0.0002,0
3.6509,0.0041,-0.0008,0
3.6504,0.0046,0.0000,0
3.6501,0.0040,-0.0010,0
3.6496,0.0044,-0.0001,0
3.6491,0.0045,0.0000,0
3.6488,0.0040,-0.0006,0
3.6485,0.0040,-0.0006,0
3.6480,0.0043,-0.0001,0
3.6476,0.0039,-0.0008,0
3.6474,0.0040,-0.0005,0
3.6469,0.0040,-0.0001,0
3.6465,0.0039,-0.0008,0
3.6460,0.0041,0.0001,0
3.6459,0.0038,-0.0006,0
3.6453,0.0039,-0.0006,0
3.6450,0.0038,-0.0002,0
3.6444,0.0041,0.0001,0
3.6443,0.0037,-0.0005,0
3.6439,0.0038,-0.0001,0
3.6435,0.0039,-0.0001,0
3.6431,0.0038,-0.0002,0
3.6428,0.0038,-0.0001,0
3.6423,0.0038,-0.0004,0
3.6420,0.0039,0.0001,0
3.6419,0.0034,-0.0005,0
3.6413,0.0038,0.0000,0
3.6409,0.0035,-0.0006,0
3.6408,0.0035,-0.0002,0
3.6400,0.0039,0.0001,0
3.6399,0.0036,-0.0003,0
3.6398,0.0034,-0.0004,0
3.6395,0.0032,-0.0005,0
3.6390,0.0032,-0.0005,0
3.6385,0.0035,-0.0004,0
3.6383,0.0036,0.0003,0
3.6379,0.0034,-0.0004,0
3.6376,0.0032,-0.0002,0
3.6373,0.0035,0.0000,0
3.6373,0.0028,-0.0011,0
3.6368,0.0031,-0.0005,0
3.6363,0.0035,0.0001,0
3.6361,0.0034,0.0001,0
3.6359,0.0031,-0.0001,0
3.6355,0.0030,-0.0005,0
3.6353,0.0030,-0.0006,0
3.6350,0.0029,-0.0005,0
3.6345,0.0031,-0.0001,0
3.6341,0.0031,-0.0004,0
3.6339,0.0034,0.0006,0
3.6336,0.0031,0.0000,0
3.6334,0.0029,-0.0006,0
3.6329,0.0032,-0.0001,0
3.6325,0.0034,0.0003,0
3.6325,0.0030,0.0000,0
3.6319,0.0034,0.0004,0
3.6315,0.0035,0.0006,0
3.6313,0.0032,0.0001,0
3.6310,0.0031,0.0000,0
3.6309,0.0030,-0.0004,0
3.6304,0.0033,0.0001,0
3.6301,0.0032,0.0004,0
3.6300,0.0029,-0.0004,0
